web_url,snippet,lead_paragraph,abstract,print_page,blog,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,subsection_name,byline,type_of_material,_id,word_count
http://query.nytimes.com/gst/fullpage.html?res=9C07E0DB163FF932A35752C0A9669D8B63,"The Olympic snowboarding hopeful Kevin Pearce was in critical condition Thursday after sustaining a head injury during training in the halfpipe in Park City, Utah.     Pearce hit his head against the edge of the halfpipe and was knocked unconscious....","The Olympic snowboarding hopeful Kevin Pearce was in critical condition Thursday after sustaining a head injury during training in the halfpipe in Park City, Utah. Pearce hit his head against the edge of the halfpipe and was knocked unconscious. He was flown to the University of Utah Hospital in Salt Lake City, where doctors planned external ventricular drainage to relieve fluid buildup in the brain, according to Pearce's mother, Pia.",Kevin Pearù,8,[],The New York Times,[],Pearce Is Critically Injured On Halfpipe,"[{""name""=>""persons"", ""value""=>""PEARCE, KEVIN""}, {""name""=>""subject"", ""value""=>""WINTER GAMES (OLYMPICS)""}, {""name""=>""subject"", ""value""=>""OLYMPIC GAMES""}, {""name""=>""subject"", ""value""=>""SNOWBOARDING""}, {""name""=>""subject"", ""value""=>""OLYMPIC GAMES (2010)""}]",2010-01-01T00:00:00Z,article,Sports Desk,Sports,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""John"", ""rank""=>1, ""lastname""=>""BRANCH""}], ""original""=>""By JOHN BRANCH""}",News,4fd2a6998eb7c8105d88f278,281
http://query.nytimes.com/gst/fullpage.html?res=9C06E1DB113DF932A35752C0A9669D8B63,"2:30 P.M. (PBS) FROM VIENNA: NEW YEAR'S CELEBRATION 2010 Georges Prêtre, above, conducts this ''Great Performances'' presentation of the Vienna Philharmonic Orchestra, live from the Viennese concert hall the Musikverein. On the  program are Strauss...","2:30 P.M. (PBS) FROM VIENNA: NEW YEAR'S CELEBRATION 2010 Georges Prêtre, above, conducts this ''Great Performances'' presentation of the Vienna Philharmonic Orchestra, live from the Viennese concert hall the Musikverein. On the program are Strauss waltzes, marches and polkas, as well as dance sequences performed by members of the Volksopera ballet, with music provided by the Vienna State Opera. The choreography is by Renato Zanella and the costume design by Valentino. Julie Andrews takes over from Walter Cronkite as host of the annual celebration. 7 A.M. (NBC) TODAY Rob Thomas performs. Trudie Styler, Sting's wife, is a guest. And the hosts discuss personal finance in 2010, hangovers and a New Year's Day breakfast.",,24,[],The New York Times,[],What's On Today,[],2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Nida"", ""rank""=>1, ""lastname""=>""NAJAR""}], ""original""=>""By NIDA NAJAR""}",News,4fd2a4b78eb7c8105d88b6c7,599
http://www.nytimes.com/2010/01/01/nyregion/01celebrations.html,"Thousands gathered in New York City’s Times Square, capping worldwide celebrations that often emphasized the hopes for a more peaceful tomorrow.","Hundreds of thousands of revelers welcomed the new year in New York City's Times Square, despite the rain, slushy streets and heightened security, capping worldwide celebrations that often emphasized the hopes for a more peaceful tomorrow. The poor weather and tight security could not dampen the otherwise festive mood in midtown Manhattan, where the cast of the Broadway show ''Hair'' was among the acts to perform. People wearing oversized 2010 glasses rushed to grab hats proclaiming ''Happy New Year'' that were tossed into the crowd. But the mood of the times was perhaps best embodied by the famous ball that dropped at midnight in Times Square - which was ''more energy efficient than ever before,'' organizers boasted, with its 32,256 Philips Luxeon Rebel LEDs and covered in 2,688 Waterford crystals.",,,[],The New York Times,"[{""credit""=>""From Beijing to London, revelers around the globe said goodbye to the decade and welcomed in a new year."", ""url""=>""http://www.nytimes.com/slideshow/2010/01/01/world/20090101_NEWYEAR_GLOBAL_index.html"", ""rank""=>""2"", ""height""=>700, ""caption""=>""Ringing In 2010, Around the World"", ""legacy""=>{""MultimediaPopupHeight2""=>""700"", ""MultimediaType2""=>""Slideshow"", ""MultimediaUrl2""=>""http://www.nytimes.com/slideshow/2010/01/01/world/20090101_NEWYEAR_GLOBAL_index.html"", ""MultimediaPopupWidth2""=>""750"", ""MultimediaSummary2""=>""From Beijing to London, revelers around the globe said goodbye to the decade and welcomed in a new year."", ""MultimediaHeadline2""=>""Ringing In 2010, Around the World""}, ""type""=>""Slideshow"", ""width""=>750}, {""credit""=>""Hundreds of thousands of revelers gathered in Times Square to mark the start of a new decade."", ""url""=>""http://www.nytimes.com/slideshow/2010/01/01/nyregion/20100101_NEWYEAR_index.html"", ""rank""=>""1"", ""height""=>700, ""caption""=>""Celebrating 2010, in Times Square Style"", ""legacy""=>{""MultimediaPopupHeight1""=>""700"", ""MultimediaType1""=>""Slideshow"", ""MultimediaPopupWidth1""=>""750"", ""MultimediaUrl1""=>""http://www.nytimes.com/slideshow/2010/01/01/nyregion/20100101_NEWYEAR_index.html"", ""MultimediaSummary1""=>""Hundreds of thousands of revelers gathered in Times Square to mark the start of a new decade."", ""MultimediaHeadline1""=>""Celebrating 2010, in Times Square Style""}, ""type""=>""Slideshow"", ""width""=>750}, {""url""=>""images/2010/01/01/nyregion/01celebration_337-span/thumbStandard.jpg"", ""subtype""=>""thumbnail"", ""legacy""=>{""hasthumbnail""=>""Y"", ""thumbnailheight""=>75, ""thumbnail""=>""images/2010/01/01/nyregion/01celebration_337-span/thumbStandard.jpg""}, ""type""=>""image"", ""height""=>75}, {""width""=>600, ""url""=>""images/2010/01/01/nyregion/01celebration_337-span/articleLarge.jpg"", ""height""=>330, ""subtype""=>""xlarge"", ""legacy""=>{""xlargewidth""=>600, ""xlargeheight""=>330, ""xlarge""=>""images/2010/01/01/nyregion/01celebration_337-span/articleLarge.jpg"", ""hasxlarge""=>""Y""}, ""type""=>""image""}]",Celebrations in Times Square Despite Troubled Times,"[{""name""=>""glocations"", ""value""=>""TIMES SQUARE AND 42ND STREET (NYC)""}, {""name""=>""subject"", ""value""=>""NEW YEAR""}]",2010-01-01T00:00:00Z,article,Metropolitan Desk,New York and Region,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Sarah"", ""rank""=>1, ""lastname""=>""WHEATON""}], ""original""=>""By SARAH WHEATON; Colin Moynihan and Karen Zraick contributed reporting for this article""}",News,4fd2a4ed8eb7c8105d88bd66,600
http://query.nytimes.com/gst/fullpage.html?res=9903E2DE163CF932A35752C0A9669D8B63,"TELEVISION     Television starts the new year by going to the dogs: Friday night brings a new season of ''DogTown'' (National Geographic, 6 p.m.), which continues to document the rehabilitation of animals rescued from the property of the N.F.L....","TELEVISION Television starts the new year by going to the dogs: Friday night brings a new season of ''DogTown'' (National Geographic, 6 p.m.), which continues to document the rehabilitation of animals rescued from the property of the N.F.L. player Michael Vick. On Saturday Animal Planet begins new seasons of ''Underdog to Wonderdog'' (8 p.m.), in which strays are turned into adoptable pets, and ''It's Me or the Dog'' (9 p.m.), which is pretty self-explanatory.",Mike Hale discusses best upcoming TV shows for January; photo (M)1,3,[],The New York Times,[],A Variety of Stories On Many Screens,"[{""name""=>""subject"", ""value""=>""TELEVISION""}]",2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Mike"", ""rank""=>1, ""lastname""=>""HALE""}], ""original""=>""By MIKE HALE""}",News,4fd2980c8eb7c8105d874fa2,352
http://query.nytimes.com/gst/fullpage.html?res=9C01E4DA163CF932A35752C0A9669D8B63,"FILM     With the holiday feasts out of the way, the first few weeks of the new year are mystery-meat time as far as Hollywood is concerned. Of course processed food can be pretty tasty, and you shouldn't be ashamed if you're looking forward to...","FILM With the holiday feasts out of the way, the first few weeks of the new year are mystery-meat time as far as Hollywood is concerned. Of course processed food can be pretty tasty, and you shouldn't be ashamed if you're looking forward to ''Daybreakers'' (opening next Friday), with Ethan Hawke and Willem Dafoe in a world where vampires outnumber humans, or ''The Book of Eli'' (Jan. 15), with Denzel Washington in one of his periodic action-hero roles.",Mike Hale discusses films that will be opening in January; photos (M)0,3,[],The New York Times,[],A Variety of Stories On Many Screens,"[{""name""=>""subject"", ""value""=>""MOVIES""}]",2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Mike"", ""rank""=>1, ""lastname""=>""HALE""}], ""original""=>""By MIKE HALE""}",News,4fd2b67a8eb7c8105d8aa41a,341
http://www.legacy.com/Link.asp?I=LS000138040730,"<!-- GITTIE  DEIN -->DEIN--Gittie Pfeffer. Dear sis, loved and remembered everyday. Carol<br><br>
 ","<!-- GITTIE  DEIN -->DEIN--Gittie Pfeffer. Dear sis, loved and remembered everyday. Carol<br><br>
 ",,,[],The New York Times,[],"Paid Notice: Deaths  DEIN, GITTIE ",[],2010-01-01T00:00:00Z,article,Classified,Paid Death Notices,,,Paid Death Notice,5213eb0979881007d59093d6,9
http://www.nytimes.com/2010/01/01/books/01arts-ABSENTFROMSC_BRF.html,"A forgotten Robert Frost manuscript recently turned up in the basement of a Masonic lodge in Methuen, Mass.","A forgotten Robert Frost manuscript recently turned up in the basement of a Masonic lodge in Methuen, Mass. It's not a poem or an essay, but rather an attendance book Frost kept while teaching eighth grade at the Second Grammar School in Methuen in 1893. City officials say the book is somewhat the worse for wear, The Boston Globe reported, and they're applying for a $3,000 grant to restore and rebind it. The entries are apparently all in Frost's hand as he painstakingly ticked off, day by day, who showed up and who didn't. At the time Frost himself was only 17, or just a few years older than his pupils, and a recent dropout from Dartmouth College, where he hadn't even finished his first semester. But teachers didn't need credentials in those days, and besides, Frost had pull: his mother also taught at Second Grammar. Teaching was the family business. Frost's father was a teacher and a journalist, and after his death Frost's mother, who had been a teacher, supported the family by returning to the classroom. She even opened her own private school in Salem, N.H., and, not surprisingly her son, who was already writing and publishing poetry but needed a day job, was hired there too.","Attendance book kept by Robert Frost in 1893, when he taught eighth grade in Methuen, Mass, is discovered in basement of Masonic lodge (S)",6,[],The New York Times,[],Absent From School? Frost Kept Track,"[{""name""=>""persons"", ""value""=>""FROST, ROBERT""}, {""name""=>""glocations"", ""value""=>""METHUEN (MASS)""}, {""name""=>""organizations"", ""value""=>""MASONS""}, {""name""=>""subject"", ""value""=>""EDUCATION AND SCHOOLS""}, {""name""=>""subject"", ""value""=>""BOOKS AND LITERATURE""}, {""name""=>""subject"", ""value""=>""TEACHERS AND SCHOOL EMPLOYEES""}]",2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts; Education; Books,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Charles"", ""rank""=>1, ""lastname""=>""McGRATH""}], ""original""=>""By CHARLES  McGRATH; Compiled by JULIE BLOOM""}",News,4fd276ae8eb7c8105d83791b,211
http://www.nytimes.com/2010/01/01/arts/01kids.html,FOR CHILDREN.,"FOR CHILDREN BROOKLYN MUSEUM TARGET FIRST SATURDAY: 'TRANSFORMATIONS' (Saturday) Most New Year's parties aren't suitable for children, but this one, part of the Brooklyn Museum's Target First Saturday series, welcomes entire families for dancing, karaoke and art. Highlights include the bilingual band Cordero (5 to 7 p.m.), a masquerade ball (7 to 8:30 p.m.) and a chance to sketch a live model in a dance pose (6:30 to 8:30 p.m.). From 5 to 11 p.m., 200 Eastern Parkway, at Prospect Park, (718) 638-5000, brooklynmuseum.org; free.",,18,[],The New York Times,[],Spare Times,"[{""name""=>""subject"", ""value""=>""CHILDREN AND YOUTH""}]",2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Laurel"", ""rank""=>1, ""lastname""=>""GRAEBER""}], ""original""=>""By LAUREL GRAEBER""}",Schedule,4fd276c68eb7c8105d837bfa,1294
http://query.nytimes.com/gst/fullpage.html?res=9E05E3DB1F3DF932A35752C0A9669D8B63,A look at what critics and arts reporters for The New York Times are looking forward to this month. (An introduction appears on Page C1.)      THEATER FESTIVAL  ,A look at what critics and arts reporters for The New York Times are looking forward to this month. (An introduction appears on Page C1.) THEATER FESTIVAL,,2,[],The New York Times,[],"Experimental Artists, Introspective Plays",[],2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Ben"", ""rank""=>1, ""lastname""=>""BRANTLEY""}], ""original""=>""By BEN BRANTLEY""}",News,4fd275a38eb7c8105d835870,346
http://www.nytimes.com/2010/01/01/movies/01arts-A106BILLIONY_BRF.html,"The movie box office for 2009 reached $10.6 billion, up about 10.1 percent from $9.63 billion in domestic ticket sales in 2008.","The movie box office for 2009 reached $10.6 billion, up about 10.1 percent from $9.63 billion in domestic ticket sales in 2008, according to an estimate from Hollywood.com's box-office reporting service. The total included projected sales through Thursday night from a range of current releases including ''Avatar'' from 20th Century Fox and ''Sherlock Holmes'' from Warner Brothers. Theater admissions for the year totaled 1.42 billion, up about 5.9 percent from 1.31 billion admissions in 2008. The number was the highest since 2004, when about 1.52 billion tickets were sold. The total box-office revenue was a record, though other years would have posted higher revenue if adjusted to reflect inflation.","Hollywood.com box-office reporting service estimates ticket sales for 2009 at $10.6 billion, up about 10.1 percent from 2008 (S)",6,[],The New York Times,[],A $10.6. Billion Year For Hollywood,"[{""name""=>""organizations"", ""value""=>""HOLLYWOOD.COM""}, {""name""=>""subject"", ""value""=>""SALES""}, {""name""=>""subject"", ""value""=>""MOVIES""}, {""name""=>""subject"", ""value""=>""FINANCES""}]",2010-01-01T00:00:00Z,article,"Movies, Performing Arts/Weekend Desk",Movies; Arts,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Michael"", ""rank""=>1, ""lastname""=>""CIEPLY""}], ""original""=>""By MICHAEL  CIEPLY; Compiled by JULIE BLOOM""}",News,4fd28efe8eb7c8105d866122,111
