web_url,snippet,lead_paragraph,abstract,print_page,blog,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,subsection_name,byline,type_of_material,_id,word_count
http://slapshot.blogs.nytimes.com/2012/01/01/live-coverage-of-winter-classic-on-monday/,"Slap Shot will provide live analysis of the Winter Classic between the Rangers and the Flyers, beginning at 3 p.m. Monday.","Slap Shot will provide live analysis of the Winter Classic game between the Rangers and the Flyers, beginning at 3 p.m. Monday. On Sunday, the N.H.L. moved the game's start time from 1 to 3 p.m. in the hope of improving ice conditions. NBC's coverage will still start at 1 p.m., the same time the gates open at Citizens Bank Park.","Slap Shot will provide live analysis of the Winter Classic between the Rangers and the Flyers, beginning at 3 p.m. Monday.",,[],The New York Times,[],Live Coverage of Winter Classic on Monday,"[{""rank""=>""4"", ""name""=>""organizations"", ""value""=>""New York Rangers""}, {""rank""=>""3"", ""name""=>""organizations"", ""value""=>""National Hockey League""}, {""rank""=>""2"", ""name""=>""subject"", ""value""=>""Hockey, Ice""}, {""rank""=>""5"", ""name""=>""organizations"", ""value""=>""Philadelphia Flyers""}, {""rank""=>""1"", ""name""=>""type_of_material"", ""value""=>""News""}]",2012-01-01T19:30:25Z,blogpost,,Sports,,"{""organization""=>""THE NEW YORK TIMES"", ""original""=>""By THE NEW YORK TIMES"", ""person""=>[]}",Blog,4fd3a2a48eb7c8105d8eac83,61
http://fifthdown.blogs.nytimes.com/2012/01/01/coming-soon-live-analysis-cowboys-at-giants/,Live coverage and analysis of the Giants' Week 17 showdown against the Dallas Cowboys at MetLife Stadium.,"The Giants claimed the N.F.L.'s last playoff spot in convincing fashion Sunday night, overpowering the Dallas Cowboys, 31-14, at MetLife Stadium to win the N.F.C. East.",Live coverage and analysis of the Giants' Week 17 showdown against the Dallas Cowboys at MetLife Stadium.,,[],The New York Times,[],"FINAL: Giants 31, Cowboys 14","[{""rank""=>""4"", ""name""=>""organizations"", ""value""=>""New York Giants""}, {""rank""=>""3"", ""name""=>""organizations"", ""value""=>""Dallas Cowboys""}, {""rank""=>""2"", ""name""=>""subject"", ""value""=>""Football""}, {""rank""=>""1"", ""name""=>""type_of_material"", ""value""=>""News""}]",2012-01-01T18:46:42Z,blogpost,,Sports,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Andrew"", ""rank""=>1, ""lastname""=>""DAS""}], ""original""=>""By ANDREW DAS""}",Blog,4fd3a2848eb7c8105d8ea8a8,3029
http://thecaucus.blogs.nytimes.com/2012/01/01/virginia-attorney-general-backs-off-ballot-proposal/,Virginia's attorney general on Sunday backed off of a proposal to loosen the state's ballot access rules to allow more Republican presidential candidates to qualify.,DES MOINES -- Virginia's attorney general on Sunday backed off of a proposal to loosen the state's ballot access rules to allow more Republican presidential candidates to qualify.,Virginia's attorney general on Sunday backed off of a proposal to loosen the state's ballot access rules to allow more Republican presidential candidates to qualify.,,[],The New York Times,[],Virginia Attorney General Backs Off Ballot Proposal,"[{""rank""=>""4"", ""name""=>""persons"", ""value""=>""Paul, Ron""}, {""rank""=>""3"", ""name""=>""persons"", ""value""=>""Gingrich, Newt""}, {""rank""=>""2"", ""name""=>""persons"", ""value""=>""Cuccinelli, Kenneth T II""}, {""rank""=>""5"", ""name""=>""persons"", ""value""=>""Perry, Rick""}, {""rank""=>""1"", ""name""=>""type_of_material"", ""value""=>""News""}, {""rank""=>""6"", ""name""=>""persons"", ""value""=>""Romney, Mitt""}, {""rank""=>""7"", ""name""=>""subject"", ""value""=>""Presidential Election of 2012""}, {""rank""=>""8"", ""name""=>""organizations"", ""value""=>""Republican Party""}, {""rank""=>""9"", ""name""=>""glocations"", ""value""=>""Virginia""}]",2012-01-01T18:46:02Z,blogpost,,U.S.,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""rank""=>1}], ""original""=>""By MICHAEL D. SHEAR""}",Blog,4fd3a2548eb7c8105d8ea27e,185
http://fifthdown.blogs.nytimes.com/2012/01/01/jason-taylor-torments-jets/,"In the final game of his career, Miami linebacker Jason Taylor damaged his former teammates' playoff chances by forcing Mark Sanchez's second interception.",A capsule look at the Jets' 19-17 loss to the Dolphins:,"In the final game of his career, Miami linebacker Jason Taylor damaged his former teammates' playoff chances by forcing Mark Sanchez's second interception.",,[],The New York Times,[],Jason Taylor Torments Jets,"[{""rank""=>""1"", ""name""=>""type_of_material"", ""value""=>""News""}, {""rank""=>""3"", ""name""=>""organizations"", ""value""=>""New York Jets""}, {""rank""=>""2"", ""name""=>""subject"", ""value""=>""Football""}]",2012-01-01T18:42:04Z,blogpost,,Sports,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Ben"", ""rank""=>1, ""lastname""=>""SHPIGEL""}], ""original""=>""By BEN SHPIGEL""}",Blog,4fd3a2848eb7c8105d8ea8ab,166
http://thecaucus.blogs.nytimes.com/2012/01/01/gingrich-says-hes-been-romney-boated/,Newt Gingrich promised an aggressive and pointed response in New Hampshire and South Carolina to attack advertisements in Iowa by groups supporting Mitt Romney.,"MARSHALLTOWN, Iowa -- Newt Gingrich said he felt ""Romney-boated"" by attack advertisements from Mitt Romney's supporters -- a reference to the Swift Boat Veterans for Truth campaign that hurt Senator John Kerry's campaign in 2004 -- and promised an aggressive, pointed response in New Hampshire and South Carolina.",Newt Gingrich promised an aggressive and pointed response in New Hampshire and South Carolina to attack advertisements in Iowa by groups supporting Mitt Romney.,,[],The New York Times,[],Gingrich Says He's Been 'Romney-Boated',"[{""rank""=>""4"", ""name""=>""subject"", ""value""=>""Political Advertising""}, {""rank""=>""3"", ""name""=>""persons"", ""value""=>""Romney, Mitt""}, {""rank""=>""2"", ""name""=>""persons"", ""value""=>""Gingrich, Newt""}, {""rank""=>""5"", ""name""=>""subject"", ""value""=>""Presidential Election of 2012""}, {""rank""=>""1"", ""name""=>""type_of_material"", ""value""=>""News""}, {""rank""=>""6"", ""name""=>""organizations"", ""value""=>""Republican Party""}, {""rank""=>""7"", ""name""=>""glocations"", ""value""=>""Iowa""}, {""rank""=>""8"", ""name""=>""glocations"", ""value""=>""New Hampshire""}, {""rank""=>""9"", ""name""=>""glocations"", ""value""=>""South Carolina""}]",2012-01-01T18:32:01Z,blogpost,,U.S.,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Trip"", ""rank""=>1, ""lastname""=>""GABRIEL""}], ""original""=>""By TRIP GABRIEL""}",Blog,4fd3a2608eb7c8105d8ea363,436
http://www.nytimes.com/video/2012/01/01/multimedia/100000001256256/rick-santorums-stump-speech.html,"Dec. 30, 2011 - Rick Santorum's final pitch to Iowa voters in Marshalltown before the Jan. 3 caucus.","Dec. 30, 2011 - Rick Santorum's final pitch to Iowa voters in Marshalltown before the Jan. 3 caucus.",,,[],The New York Times,"[{""subtype""=>""wide"", ""url""=>""images/2011/12/30/multimedia/video-santorum-stumpspeech/video-santorum-stumpspeech-thumbWide.jpg"", ""height""=>126, ""width""=>190, ""legacy""=>{""wide""=>""images/2011/12/30/multimedia/video-santorum-stumpspeech/video-santorum-stumpspeech-thumbWide.jpg"", ""wideheight""=>""126"", ""widewidth""=>""190""}, ""type""=>""image""}, {""subtype""=>""xlarge"", ""url""=>""images/2011/12/30/multimedia/video-santorum-stumpspeech/video-santorum-stumpspeech-articleLarge.jpg"", ""height""=>338, ""width""=>600, ""legacy""=>{""xlargewidth""=>""600"", ""xlarge""=>""images/2011/12/30/multimedia/video-santorum-stumpspeech/video-santorum-stumpspeech-articleLarge.jpg"", ""xlargeheight""=>""338""}, ""type""=>""image""}, {""subtype""=>""thumbnail"", ""url""=>""images/2011/12/30/multimedia/video-santorum-stumpspeech/video-santorum-stumpspeech-thumbStandard.jpg"", ""height""=>75, ""width""=>75, ""legacy""=>{""thumbnailheight""=>""75"", ""thumbnail""=>""images/2011/12/30/multimedia/video-santorum-stumpspeech/video-santorum-stumpspeech-thumbStandard.jpg"", ""thumbnailwidth""=>""75""}, ""type""=>""image""}]",Rick Santorum's Stump Speech,"[{""value""=>""Santorum, Rick"", ""is_major""=>""N"", ""rank""=>""1"", ""name""=>""persons""}]",2012-01-01T18:29:39Z,multimedia,Multimedia/Photos,Multimedia/Photos,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""rank""=>1, ""firstname""=>""None"", ""lastname""=>""None""}], ""original""=>""None None""}",Video,523769fb79881007d591853d,18
http://video.nytimes.com/video/2012/01/01/multimedia/100000001256256/rick-santorums-stump-speech.html,"Dec. 30, 2011 - Rick Santorum's final pitch to Iowa voters in Marshalltown before the Jan. 3 caucus.",,,,[],The New York Times,[],Rick Santorum's Stump Speech,[],2012-01-01T18:29:39Z,multimedia,,Multimedia/Photos,,,Video,504a78af1c22dfde670bcd03,0
http://www.nytimes.com/video/2012/01/01/multimedia/100000001256083/newt-gingrich-in-south-carolina.html,"Newt Gingrich delivers a speech before answering questions on Dec. 23 in Columbia, S.C.","Newt Gingrich delivers a speech before answering questions on Dec. 23 in Columbia, S.C.",,,[],The New York Times,"[{""subtype""=>""wide"", ""url""=>""images/2011/12/30/multimedia/video-gingrich-stump-speech/video-gingrich-stump-speech-thumbWide.jpg"", ""height""=>126, ""width""=>190, ""legacy""=>{""wide""=>""images/2011/12/30/multimedia/video-gingrich-stump-speech/video-gingrich-stump-speech-thumbWide.jpg"", ""wideheight""=>""126"", ""widewidth""=>""190""}, ""type""=>""image""}, {""subtype""=>""xlarge"", ""url""=>""images/2011/12/30/multimedia/video-gingrich-stump-speech/video-gingrich-stump-speech-articleLarge.jpg"", ""height""=>338, ""width""=>600, ""legacy""=>{""xlargewidth""=>""600"", ""xlarge""=>""images/2011/12/30/multimedia/video-gingrich-stump-speech/video-gingrich-stump-speech-articleLarge.jpg"", ""xlargeheight""=>""338""}, ""type""=>""image""}, {""subtype""=>""thumbnail"", ""url""=>""images/2011/12/30/multimedia/video-gingrich-stump-speech/video-gingrich-stump-speech-thumbStandard.jpg"", ""height""=>75, ""width""=>75, ""legacy""=>{""thumbnailheight""=>""75"", ""thumbnail""=>""images/2011/12/30/multimedia/video-gingrich-stump-speech/video-gingrich-stump-speech-thumbStandard.jpg"", ""thumbnailwidth""=>""75""}, ""type""=>""image""}]",Newt Gingrich in South Carolina,[],2012-01-01T18:24:48Z,multimedia,Multimedia/Photos,Multimedia/Photos,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""rank""=>1, ""firstname""=>""Nicholas"", ""lastname""=>""Corasaniti""}], ""original""=>""Nicholas Corasaniti""}",Video,523769fb79881007d591853b,14
http://video.nytimes.com/video/2012/01/01/multimedia/100000001256083/newt-gingrich-in-south-carolina.html,"Newt Gingrich delivers a speech before answering questions on Dec. 23 in Columbia, S.C.",,,,[],The New York Times,[],Newt Gingrich in South Carolina,[],2012-01-01T18:24:48Z,multimedia,,Multimedia/Photos,,,Video,504a78ce1c22dfde670bcdc0,0
http://thecaucus.blogs.nytimes.com/2012/01/01/romney-talks-about-santorum-a-bit-mischievously/,Mitt Romney notes that Rick Santorum endorsed him in 2008.,"ATLANTIC, Iowa - Mitt Romney offered his most extensive comments on his presidential rival Rick Santorum - a former senator from Pennsylvania who is experiencing a surge in the polls - when pressed by reporters during a question-and-answer session following an event here.",Mitt Romney notes that Rick Santorum endorsed him in 2008.,,[],The New York Times,[],"Romney Talks About  Santorum, a Bit Mischievously","[{""rank""=>""4"", ""name""=>""subject"", ""value""=>""Presidential Election of 2012""}, {""rank""=>""3"", ""name""=>""persons"", ""value""=>""Santorum, Rick""}, {""rank""=>""2"", ""name""=>""persons"", ""value""=>""Romney, Mitt""}, {""rank""=>""5"", ""name""=>""organizations"", ""value""=>""Des Moines Register""}, {""rank""=>""1"", ""name""=>""type_of_material"", ""value""=>""News""}, {""rank""=>""6"", ""name""=>""organizations"", ""value""=>""Republican Party""}, {""rank""=>""7"", ""name""=>""glocations"", ""value""=>""Iowa""}]",2012-01-01T18:15:45Z,blogpost,,U.S.,,"{""person""=>[{""organization""=>"""", ""role""=>""reported"", ""firstname""=>""Ashley"", ""rank""=>1, ""lastname""=>""PARKER""}], ""original""=>""By ASHLEY PARKER""}",Blog,4fd3a2838eb7c8105d8ea77d,457
