,lead_paragraph,headline,uplifting
0,"The Olympic snowboarding hopeful Kevin Pearce was in critical condition Thursday after sustaining a head injury during training in the halfpipe in Park City, Utah. Pearce hit his head against the edge of the halfpipe and was knocked unconscious. He was flown to the University of Utah Hospital in Salt Lake City, where doctors planned external ventricular drainage to relieve fluid buildup in the brain, according to Pearce's mother, Pia.",Pearce Is Critically Injured On Halfpipe,0
2,"Hundreds of thousands of revelers welcomed the new year in New York City's Times Square, despite the rain, slushy streets and heightened security, capping worldwide celebrations that often emphasized the hopes for a more peaceful tomorrow. The poor weather and tight security could not dampen the otherwise festive mood in midtown Manhattan, where the cast of the Broadway show ''Hair'' was among the acts to perform. People wearing oversized 2010 glasses rushed to grab hats proclaiming ''Happy New Year'' that were tossed into the crowd. But the mood of the times was perhaps best embodied by the famous ball that dropped at midnight in Times Square - which was ''more energy efficient than ever before,'' organizers boasted, with its 32,256 Philips Luxeon Rebel LEDs and covered in 2,688 Waterford crystals.",Celebrations in Times Square Despite Troubled Times,0
3,"TELEVISION Television starts the new year by going to the dogs: Friday night brings a new season of ''DogTown'' (National Geographic, 6 p.m.), which continues to document the rehabilitation of animals rescued from the property of the N.F.L. player Michael Vick. On Saturday Animal Planet begins new seasons of ''Underdog to Wonderdog'' (8 p.m.), in which strays are turned into adoptable pets, and ''It's Me or the Dog'' (9 p.m.), which is pretty self-explanatory.",A Variety of Stories On Many Screens,0
4,"FILM With the holiday feasts out of the way, the first few weeks of the new year are mystery-meat time as far as Hollywood is concerned. Of course processed food can be pretty tasty, and you shouldn't be ashamed if you're looking forward to ''Daybreakers'' (opening next Friday), with Ethan Hawke and Willem Dafoe in a world where vampires outnumber humans, or ''The Book of Eli'' (Jan. 15), with Denzel Washington in one of his periodic action-hero roles.",A Variety of Stories On Many Screens,0
5,"<!-- GITTIE  DEIN -->DEIN--Gittie Pfeffer. Dear sis, loved and remembered everyday. Carol<br><br>
 ","Paid Notice: Deaths  DEIN, GITTIE ",0
6,"A forgotten Robert Frost manuscript recently turned up in the basement of a Masonic lodge in Methuen, Mass. It's not a poem or an essay, but rather an attendance book Frost kept while teaching eighth grade at the Second Grammar School in Methuen in 1893. City officials say the book is somewhat the worse for wear, The Boston Globe reported, and they're applying for a $3,000 grant to restore and rebind it. The entries are apparently all in Frost's hand as he painstakingly ticked off, day by day, who showed up and who didn't. At the time Frost himself was only 17, or just a few years older than his pupils, and a recent dropout from Dartmouth College, where he hadn't even finished his first semester. But teachers didn't need credentials in those days, and besides, Frost had pull: his mother also taught at Second Grammar. Teaching was the family business. Frost's father was a teacher and a journalist, and after his death Frost's mother, who had been a teacher, supported the family by returning to the classroom. She even opened her own private school in Salem, N.H., and, not surprisingly her son, who was already writing and publishing poetry but needed a day job, was hired there too.",Absent From School? Frost Kept Track,0
8,A look at what critics and arts reporters for The New York Times are looking forward to this month. (An introduction appears on Page C1.) THEATER FESTIVAL,"Experimental Artists, Introspective Plays",0
9,"The movie box office for 2009 reached $10.6 billion, up about 10.1 percent from $9.63 billion in domestic ticket sales in 2008, according to an estimate from Hollywood.com's box-office reporting service. The total included projected sales through Thursday night from a range of current releases including ''Avatar'' from 20th Century Fox and ''Sherlock Holmes'' from Warner Brothers. Theater admissions for the year totaled 1.42 billion, up about 5.9 percent from 1.31 billion admissions in 2008. The number was the highest since 2004, when about 1.52 billion tickets were sold. The total box-office revenue was a record, though other years would have posted higher revenue if adjusted to reflect inflation.",A $10.6. Billion Year For Hollywood,0
10,"The movie box office for 2009 reached $10.6 billion, up about 10.1 percent from $9.63 billion in domestic ticket sales in 2008, according to an estimate from Hollywood.com's box-office reporting service. The total included projected sales through Thursday night from a range of current releases including ''Avatar'' from 20th Century Fox and ''Sherlock Holmes'' from Warner Brothers. Theater admissions for the year totaled 1.42 billion, up about 5.9 percent from 1.31 billion admissions in 2008. The number was the highest since 2004, when about 1.52 billion tickets were sold. The total box-office revenue was a record, though other years would have posted higher revenue if adjusted to reflect inflation.",A $10.6. Billion Year For Hollywood,0
11,"A forgotten Robert Frost manuscript recently turned up in the basement of a Masonic lodge in Methuen, Mass. It's not a poem or an essay, but rather an attendance book Frost kept while teaching eighth grade at the Second Grammar School in Methuen in 1893. City officials say the book is somewhat the worse for wear, The Boston Globe reported, and they're applying for a $3,000 grant to restore and rebind it. The entries are apparently all in Frost's hand as he painstakingly ticked off, day by day, who showed up and who didn't. At the time Frost himself was only 17, or just a few years older than his pupils, and a recent dropout from Dartmouth College, where he hadn't even finished his first semester. But teachers didn't need credentials in those days, and besides, Frost had pull: his mother also taught at Second Grammar. Teaching was the family business. Frost's father was a teacher and a journalist, and after his death Frost's mother, who had been a teacher, supported the family by returning to the classroom. She even opened her own private school in Salem, N.H., and, not surprisingly her son, who was already writing and publishing poetry but needed a day job, was hired there too.",Absent From School? Frost Kept Track,0
13,"Americans don't hear a lot about the top United Nations representative in Afghanistan, but the job is a critically important one. The mission's responsibilities include strengthening governance, combating corruption, monitoring and protecting human rights and assuring fair and independently supervised elections. The current representative, Kai Eide, has been a disappointment. He has been too quiet about President Hamid Karzai's corrupt associates and too tolerant of the lax accounting practices at United Nations development programs. He was too slow, even slower than Washington, to condemn Mr. Karzai's blatant rigging of the August presidential election. Mr. Eide has announced that he will be leaving soon. Choosing the right successor is vitally important. Securing and rebuilding Afghanistan is an international, not just an American, responsibility. Ban Ki-moon, the United Nations secretary general, is currently considering three candidates: Staffan de Mistura of Sweden, Jean-Marie Guéhenno of France and Ian Martin of Britain. Of these, we believe Mr. Guéhenno has most clearly demonstrated the qualities necessary for what is a very tough job.",The U.N. in Afghanistan,0
14,"The government of Xinjiang, the restive, predominantly Muslim region in far western China shaken recently by ethnic strife, said Thursday that it had adopted what appeared to be a sweeping law barring the spread of views deemed to threaten national unity. The government said on its Web site that the measure, a vaguely described law on ''education for ethnic unity in Xinjiang,'' was adopted Tuesday by the local legislature and would take effect in February.",China: Xinjiang Enacts a Curb On Dissent,0
15,"Thank you very much and Happy New Year. Muchas gracias y Feliz Año Nuevo. Here we are on yet another inauguration day. The last time we did this, none of you thought you'd see me standing here again, did you? Come on, you can admit it. You had no ways of knowing that I'm the Elaine Stritch of New York politics. Remember that Sondheim number she sings? ''I'm Still Here.''","Once, Twice, Three Times a Mayor. I Love You, New York.",0
16,"<!-- IAN  BERG -->BERG--Ian J., 68, a managing partner of Eastern Technology Fund, died of pancreatic cancer.<br><br>
 ","Paid Notice: Deaths  BERG, IAN ",0
